PSN 7
Eutelsat Konnect VHTS
Badr 3 (ARABSAT 3A)
BulgariaSat-1
Astra 1C
Telecom 2C
Rascom 1 (Rascom-QAF 1)
Rascom 1R (RASCOM-QAF 1R)
Eutelsat 3B (E3B)
Eutelsat 4B (E4B, Eutelsat 25A, E25A, Eurobird 2, HotBird 5)
Eutelsat 4A (E4A, Eurobird 4A, RESSAT, Eutelsat W1)
Astra 4A (Sirius 4)
Kizuna (WINDS)
SES 5 (Sirius 5, Astra 4B)
Eutelsat Konnect (BB4A)
Eutelsat 7B (E7B, Eutelsat 3D, E3D, W3D, Eutelsat W3D)
Eutelsat 7C
Eutelsat 9B (E9B, EDRS-A)
Eutelsat KA-SAT 9A (KASAT, KA-Sat)
Eutelsat 10A (E10A, W2A, Eutelsat W2A)
Echostar 21 (EchoStar T2, TerreStar 2)
Eutelsat 10B (E10B)
Inmarsat GX5 (Inmarsat 5F5, I5F5, GX5)
Eutelsat Hot Bird 13G (Hotbird 13G, HB13G)
Eutelsat Hot Bird 13F (Hotbird 13F, HB13F)
Eutelsat Hot Bird 13C (HB13C, HB9, Hotbird 9, Hot Bird 9)
Eutelsat Hot Bird 13B (HB13B, HB8, Hotbird 8, Hot Bird 8)
Eutelsat Hot Bird 13E (HB13E, Eutelsat 9A, E9A, Eurobird 9A, Hot Bird 7A, Hotbird 7A)
Angosat 1
Eutelsat 16A (E16A, W3C, Eutelsat W3C)
Eutelsat W3B
Eutelsat 16B (E16B, Eurobird 16, Hotbird 4, HB-4, Atlantic Bird 4, AB-4)
Eutelsat W2
Eutelsat 16C (E16C, Sesat 1, Eutelsat Sesat)
Amos 17
Amos 5
Astra 1M
Astra 2B
Astra 1L
Astra 1KR
Astra 1G
Astra 1N
Arabsat 5C
GovSat-1 (SES 16)
AfriStar 1 (Afristar)
Eutelsat 21B (E21B, W6A, Eutelsat W6A)
Astra 3B
Thor 2A (Thor 2)
Astra 1E
Astra 2D
Angosat 2
Skynet 5B
Es'hail 1 (Eutelsat 25B, E25B, Eurobird 2A)
Alphasat I-XL (Inmarsat XL, Inmarsat-4AF4)
Es'hail 2
Badr 7 (Arabsat 6B)
Badr 6 (Arabsat 4C, Arabsat 4AR)
Badr 5 (Arabsat 5B)
Badr 4 (ARABSAT 4B)
Astra 2A
Astra 2F
Astra 2E
Astra 2G
XTAR-EUR (XTAR-EU)
Arabsat 6A
Hylas 3 (EDRS-C, Condosat)
Arabsat 5A
Hylas 2
Astra 5B (Hylas 2B)
Turksat 5A
Intelsat 24 (Amos 1, IS-24)
Eutelsat 31A (E31A, Eutelsat 33A, E33A, Eurobird 3, eBird 1)
Turksat 1C (Türksat 1C)
Astra 5A (GE 1E, Sirius 2)
Intelsat 802 (IS-802)
Eutelsat 33B (E33B, Eutelsat 25C, E25C, Eutelsat 70A, E70A, W5, Eutelsat W5, Eutelsat-W1)
Galaxy 14 (G-14)
Intelsat 702 (IS-702, Intelsat 7-F2)
Eutelsat 33E (E33E, Eutelsat Hot bird 13D, Eutelsat 3C, E3C, Hot Bird 10, Hotbird 10, HB-10, AB-4A, Atlantic Bird 4A)
Intelsat 28 (Intelsat New Dawn)
Zohreh 1 (Venus 1)
Arabsat 2B
Eutelsat 36B (E36B, W7, Eutelsat W7)
Express AMU1 (Eutelsat 36C)
Paksat-1R
Athena Fidus
Paksat-MM 1 (PakSat Multi-Mission Satelite 1, Asiasat 4)
Paksat 1 (Paksat-1, Palapa C1, Anatolia 1, HGS 3)
HellasSat 3 (HS 3, Inmarsat-S EAN, Europasat)
HellasSat 4 (HS 4, SaudiGeoSat 1)
Express AM7 (Ekspress-AM7, Экспресс АМ7)
Express AM1 (Ekspress AM1)
Turksat 2A (Eurasiasat 1, Türksat 2A)
Nigcomsat 1R
Turksat 4A
Turksat 6A
Turksat 3A (Türksat 3A)
Nigcomsat 1
Turksat 5B
Astra 1F
Thuraya 2
Azerspace 2 (Intelsat 38)
Azerspace (Africasat 1A)
Africasat 1 (Measat 1, Afrisat 1)
Intelsat 709 (IS-709, Intelsat 7-F9)
Intelsat 601 (IS-601, INTELSAT VI F-1)
Insat 4CR
Eutelsat 48C (E21A, W6, Eutelsat W6, Eutelsat W3, Eutelsat 21A)
Eutelsat 48A (E48A, W48, Eutelsat W48, HB2, Hotbird 2, Hot Bird 2, Eurobird 9)
Eutelsat 48E (E48E, E70C, E36A, W4, Eutelsat W4, E80A)
GSAT 19 (GSAT-19E)
GSAT 31
GSAT 12
Al Yah 2 (Yahsat 1B, Y1B)
Lybid 1 (Лыбидь-1)
Eutelsat Quantum
Yamal 601 (Ямал-601)
Turksat 4B
Galaxy 26 (G-26, Telstar 6, Intelsat Americas 6, IA-6)
NSS 5 (Intelsat 803)
Sirius 3
BELINTERSAT-1
Thaicom 2
Hylas 1 (HylasOne, Hylas One)
Chinasat 5D (ZX-5D, Apstar 1A)
Chinasat 15 (Zhongxing 15, ZX-15)
TurkmenAlem (TurkmenÄlem 520E, Turkmenspace 1, Turkmensat-1, MonacoSat)
Express AM6 (Ekspress AM6, EAM6, Eutelsat 53A, E53A)
Al Yah 1 (Yahlive, Y1A, Yahsat Y1A, Yahsat 1A)
Skynet 5D
GSAT 16
GSAT 8 (Insat 4G)
Yamal 402 (Yamal 400 KA-2, Ямал-402)
Insat 3E
GSAT 29
Inmarsat GX4 (Inmarsat 5F4, I5F4, GX4)
Express AT1
Bonum 1
Directv 1R (DBS 4)
NSS 12
Kazsat 3
Eutelsat 59A (E59A, Eutelsat 36 West A, E36WA, Eutelsat 12 West A, E12WA, Atlantic Bird 1, AB1)
Luch (Loutch, Olymp)
Intelsat 33e
Ovzon-3
ABS-4 (ABS 2i, Mobisat-1, MBSAT 1)
Intelsat 39 (IS-39)
Inmarsat GX1 (Inmarsat 5F1, I5-IOR, GX1)
Intelsat 12 (IS 12, PAS 12, Europe*Star 1)
Intelsat 906 (IS-906)
Inmarsat-3F1 (Inmarsat 3 F1, I3F1, IOR)
Inmarsat-4F2 (Inmarsat 4-F2, I4F2, IND-W)
Intelsat 26 (Jcsat 4, Jcsat R, IS-26)
Amos 4
Galaxy 27 (G-27, Intelsat IA-7, Telstar 7)
Intelsat 17 (IS-17)
Galaxy 25 (G-25, Intelsat Americas 5 (IA 5), Telstar 5. Moving to 66 East orbital location)
Intelsat 704 (IS-704, Intelsat 7-F4)
ABS-1A (Mugungwa 2, Koreasat 2)
Intelsat 20 (IS-20)
Intelsat 36
Eutelsat 70B (E70B, W5A, Eutelsat W5A)
Eutelsat 70D (E70D, E33D, Eutelsat 8 West C, E8WC, Eutelsat Hot Bird 13A, HB13A, HB6, HotBird 6, Hot bird 6)
