Developed Markets,1,171.38,5,18.60,9823.87,0.22,4,2.29
North America,3,18.41,6,17.53,66446.70,0.18,2,2.67
Emerging Asia Pacific,5,-4.38,1,30.99,7.12,0.66,1,6.13
Developed Asia Pacific,6,-72.69,2,22.45,684.95,0.56,3,2.61
Global,2,86.13,3,19.19,257.04,0.17,5,N/A
Global ex-U.S.,4,-3.29,4,19.12,30.94,0.58,6,N/A
